時  間/館 舍,EA,EB,SA,SB,SC,EO,ES,EV,Ad.,HA,F,M
2016/09,18918.5,39896.34,56180.06,155622,308647,355831.7,0,58516.8,10034.91,30391.02,11776.4,524313.4
2016/10,20456.63,40630.19,60920.13,167179,339247,368665.9,0,59811.73,8487.64,34042.13,12201.76,577197.8
2016/11,15260.88,29715.28,44560.88,140397,319436.5,175533.4,210116,353208.9,1920.39,24079.13,21764.13,27131.5
2016/12,14773.25,26457.34,40563.19,133043,268741,0,176069,0,125.61,21021.31,19383.25,23924.25
2017/01,11648.25,23412.44,33757.56,121240,224744.5,673310.5,147811.5,95160.26,172.42,17368.25,16248.38,18712.63
2017/02,10572.25,20996.31,31529.94,112657,193847.5,225028.5,128627.5,32578.91,400.91,15777.19,14651.88,16063.75
2017/03,12430.25,25768.88,40157.38,138637,253917.5,283449.9,162137,40636.55,496.88,20375.88,19476.13,21471.19
2017/04,14461,29174.13,42889.44,147668,295760,306591.9,200656,42701.94,4311.7,22610.28,19350.63,23474.44
2017/05,18443,37091.38,57777.88,179884,343788,373546.8,256653,60511.19,9857.31,30829.16,24886.13,30093.88
2017/06,19396.13,43642.63,67220.88,175408,331706,379082,290348,70035.06,14358.13,35541.84,26609.13,31214.06
2017/07,21355.5,42162.31,64002.38,174234,306851,394491.8,282881,71938.91,3294.97,24358.81,25394.25,27669.63
2017/08,23307,40210,64538.13,183416,322267,421187.8,305416,73856.03,0,26428.16,24291.25,25850.06
平均用電,16751.8866666667,33263.1025,50341.4875,152448.75,292412.75,359701.836363636,216071.5,87177.8436363636,4860.0790909091,25235.2633333333,19669.4433333333,112259.715833333
總用電,201022.64,399157.23,604097.85,1829385,3508953,3956720.2,2160715,958956.28,53460.87,302823.16,236033.32,1347116.59
