month;date;area;bd_name;loop;types;Usage
Sep;2016/09;南區                  ;工程四館                ;主迴路                 ;教學                  ;342484
Oct;2016/10;南區                  ;工程四館                ;主迴路                 ;教學                  ;366530
Nov;2016/11;南區                  ;工程四館                ;主迴路                 ;教學                  ;303070
Dec;2016/12;南區                  ;工程四館                ;主迴路                 ;教學                  ;277907
Jan;2017/01;南區                  ;工程四館                ;主迴路                 ;教學                  ;13813330
Feb;2017/02;南區                  ;工程四館                ;主迴路                 ;教學                  ;203618
Mar;2017/03;南區                  ;工程四館                ;主迴路                 ;教學                  ;255078
Apr;2017/04;南區                  ;工程四館                ;主迴路                 ;教學                  ;278830
May;2017/05;南區                  ;工程四館                ;主迴路                 ;教學                  ;14985320
Jun;2017/06;南區                  ;工程四館                ;主迴路                 ;教學                  ;15064240
Jul;2017/07;南區                  ;工程四館                ;主迴路                 ;教學                  ;371254
Aug;2017/08;南區                  ;工程四館                ;主迴路                 ;教學                  ;355897
