時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,南區                  ,服務大樓                ,主迴路                 ,行政                  ,2130544.00
2016/10,南區                  ,服務大樓                ,主迴路                 ,行政                  ,44666.75
2016/11,南區                  ,服務大樓                ,主迴路                 ,行政                  ,36711.00
2016/12,南區                  ,服務大樓                ,主迴路                 ,行政                  ,37236.00
2017/01,南區                  ,服務大樓                ,主迴路                 ,行政                  ,2311804.00
2017/02,南區                  ,服務大樓                ,主迴路                 ,行政                  ,30873.50
2017/03,南區                  ,服務大樓                ,主迴路                 ,行政                  ,33838.00
2017/04,南區                  ,服務大樓                ,主迴路                 ,行政                  ,31388.50
2017/05,南區                  ,服務大樓                ,主迴路                 ,行政                  ,32463.75
2017/06,南區                  ,服務大樓                ,主迴路                 ,行政                  ,37146.50
2017/07,南區                  ,服務大樓                ,主迴路                 ,行政                  ,43385.00
2017/08,南區                  ,服務大樓                ,主迴路                 ,行政                  ,36385.00
