時  間/館 舍;2016/09;2016/10;2016/11;2016/12;2017/01;2017/02;2017/03;2017/04;2017/05;2017/06;2017/07;2017/08;平均用電;總用電
工程一館                ;18918.5;20456.63;15260.88;14773.25;11648.25;10572.25;12430.25;14461;18443;19396.13;21355.5;23307;16751.8866666667;201022.64
工程二館;39896.34;40630.19;29715.28;26457.34;23412.44;20996.31;25768.88;29174.13;37091.38;43642.63;42162.31;40210;33263.1025;399157.23
科學一館;56180.06;60920.13;44560.88;40563.19;33757.56;31529.94;40157.38;42889.44;57777.88;67220.88;64002.38;64538.13;50341.4875;604097.85
科學二館;155622;167179;140397;133043;121240;112657;138637;147668;179884;175408;174234;183416;152448.75;1829385
基礎大樓;308647;339247;319436.5;268741;224744.5;193847.5;253917.5;295760;343788;331706;306851;322267;292412.75;3508953
光電大樓(田家炳);355831.7;368665.9;175533.4;0;673310.5;225028.5;283449.9;306591.9;373546.8;379082;394491.8;421187.8;359701.836363636;3956720.2
電資大樓;0;0;210116;176069;147811.5;128627.5;162137;200656;256653;290348;282881;305416;216071.5;2160715
環保大樓;58516.8;59811.73;353208.9;0;95160.26;32578.91;40636.55;42701.94;60511.19;70035.06;71938.91;73856.03;87177.8436363636;958956.28
行政大樓;10034.91;8487.64;1920.39;125.61;172.42;400.91;496.88;4311.7;9857.31;14358.13;3294.97;0;4860.0790909091;53460.87
人社一館;30391.02;34042.13;24079.13;21021.31;17368.25;15777.19;20375.88;22610.28;30829.16;35541.84;24358.81;26428.16;25235.2633333333;302823.16
人社二館;11776.4;12201.76;21764.13;19383.25;16248.38;14651.88;19476.13;19350.63;24886.13;26609.13;25394.25;24291.25;19669.4433333333;236033.32
管理一館;524313.4;577197.8;27131.5;23924.25;18712.63;16063.75;21471.19;23474.44;30093.88;31214.06;27669.63;25850.06;112259.715833333;1347116.59
